YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1971   0.4   2.0   2.3   1.7   0.9   0.4   0.2   1.5   1.4   1.7   0.5   0.3
1972   0.5   1.1   0.6  -0.1  -1.6  -0.5  -1.4  -0.5  -1.4  -0.9  -0.3  -1.3
1973  -0.3  -1.4   0.7   0.1   0.4   1.1   0.6   1.3   1.2   0.8   2.6   1.8
1974   2.4   2.1   2.4   0.9   1.0   0.4   1.1   0.8   1.1   0.9  -0.1   0.2
1975  -0.5   0.8   1.6   1.2   0.6   1.3   1.9   2.0   2.1   1.7   1.2   2.1
1976   1.4   1.7   1.7   0.3   0.4   0.3  -0.9  -0.8  -1.1   0.4   0.7  -0.3
1977  -0.4   1.2  -0.5  -0.4  -0.5  -0.9  -1.1  -0.8  -0.8  -1.0  -1.3  -1.1
1978  -0.3  -2.7  -0.2  -0.3   1.4   0.7   0.6   0.4   0.1  -0.4   0.0  -0.1
1979  -0.4   1.0   0.1  -0.1   0.5   0.6   1.3  -0.2   0.1  -0.1  -0.4  -0.7
1980   0.4   0.3  -0.4  -0.6   0.0   0.0   0.0   0.4  -0.5   0.0  -0.3  -0.1
1981   0.4  -0.2  -1.3  -0.1   0.8   1.2   0.8   0.7   0.3  -0.4   0.2   0.5
1982   1.2   0.3   0.6   0.1  -0.3  -1.0  -1.5  -1.7  -1.7  -1.7  -2.6  -2.2
1983  -3.5  -3.6  -2.4  -0.9   0.6   0.0  -0.6   0.1   0.9   0.4  -0.1   0.0
1984   0.2   0.9  -0.2   0.3   0.2  -0.3   0.2   0.4   0.1  -0.3   0.3  -0.1
1985  -0.3   1.2   0.8   1.2   0.4  -0.4  -0.1   1.0   0.0  -0.4  -0.2   0.2
1986   1.0  -1.0   0.5   0.3  -0.2   1.0   0.3  -0.4  -0.5   0.6  -1.2  -1.4
1987  -0.7  -1.2  -1.3  -1.4  -1.3  -1.1  -1.4  -0.9  -1.0  -0.4   0.0  -0.5
1988  -0.1  -0.4   0.6   0.1   0.9   0.1   1.0   1.5   1.8   1.4   1.7   1.2
1989   1.5   1.2   1.1   1.6   1.2   0.7   0.9  -0.3   0.5   0.8  -0.2  -0.5
1990  -0.1  -1.8  -0.4   0.2   1.2   0.3   0.5  -0.2  -0.7   0.3  -0.5  -0.2
1991   0.6   0.3  -0.7  -0.6  -1.0  -0.1   0.0  -0.4  -1.5  -1.0  -0.7  -1.8
1992  -2.9  -0.9  -2.0  -1.0   0.3  -0.6  -0.6   0.4   0.1  -1.4  -0.7  -0.6
1993  -0.9  -0.7  -0.5  -1.2  -0.3  -0.8  -0.8  -0.9  -0.7  -1.1  -0.1   0.2
1994  -0.1   0.3  -0.7  -1.3  -0.7  -0.4  -1.3  -1.2  -1.6  -1.1  -0.6  -1.2
1995  -0.4  -0.1   0.8  -0.7  -0.4   0.1   0.4   0.3   0.3   0.0   0.0  -0.5
1996   1.0   0.3   1.1   0.8   0.3   1.2   0.7   0.7   0.6   0.6  -0.1   0.9
1997   0.5   1.7  -0.4  -0.6  -1.3  -1.4  -0.8  -1.4  -1.4  -1.5  -1.2  -1.0
1998  -2.7  -2.0  -2.4  -1.4   0.3   1.0   1.2   1.2   1.0   1.1   1.0   1.4
1999   1.8   1.0   1.3   1.4   0.2   0.3   0.5   0.4  -0.1   1.0   1.0   1.4
2000   0.7   1.7   1.3   1.2   0.4  -0.2  -0.2   0.7   0.9   1.1   1.8   0.8
2001   1.0   1.7   0.9   0.2  -0.5   0.3  -0.2  -0.4   0.2   0.0   0.7  -0.8
2002   0.4   1.1  -0.2  -0.1  -0.8  -0.2  -0.5  -1.0  -0.6  -0.4  -0.5  -1.1
2003  -0.2  -0.7  -0.3  -0.1  -0.3  -0.6   0.3   0.1  -0.1   0.0  -0.3   1.1
2004  -1.3   1.2   0.4  -0.9   1.0  -0.8  -0.5  -0.3  -0.3  -0.1  -0.7  -0.8
2005   0.3  -3.1   0.3  -0.6  -0.8   0.4   0.2  -0.3   0.4   1.2  -0.2   0.0
2006   1.7   0.1   1.8   1.1  -0.5  -0.2  -0.6  -1.0  -0.6  -1.3   0.1  -0.3
2007  -0.8  -0.1   0.2  -0.1  -0.1   0.5  -0.3   0.4   0.2   0.7   0.9   1.7
2008   1.8   2.6   1.4   0.7  -0.1   0.6   0.3   1.0   1.2   1.3   1.3   1.4
2009   1.1   1.9   0.4   0.8  -0.1   0.1   0.2  -0.2   0.3  -1.2  -0.6  -0.7
2010  -1.1  -1.5  -0.7   1.2   0.9   0.4   1.8   1.8   2.2   1.7   1.3   2.9
2011   2.3   2.7   2.5   1.9   0.4   0.2   1.0   0.4   1.0   0.8   1.1   2.5
2012   1.1   0.5   0.7  -0.3   0.0  -0.4   0.0  -0.2   0.2   0.3   0.3  -0.6
2013  -0.1  -0.2   1.5   0.2   0.8   1.2   0.8   0.2   0.3  -0.1   0.7   0.1
2014   1.4   0.1  -0.9   0.8   0.5   0.2  -0.2  -0.7  -0.7  -0.6  -0.9  -0.6
2015  -0.8   0.2  -0.7   0.0  -0.7  -0.6  -1.1  -1.4  -1.6  -1.7  -0.5  -0.6
2016  -2.2  -2.0  -0.1  -1.2   0.4   0.6   0.4   0.7   1.2  -0.3  -0.1   0.3
2017   0.2  -0.1   0.9  -0.2   0.3  -0.4   0.8   0.5   0.6   0.9   0.9  -0.1
